C,class_weight,preproc,keypoint_size,step,n_keypoints,n_words,accuracy,macro_f1,fit_seconds,n_iter,converged
0.1,,raw_gray,12,6,64,500,0.38901660280970624,0.2858514686763294,6.000156839028932,18,True
1.0,,raw_gray,12,6,64,500,0.3913154533844189,0.3154275085336074,6.552110438991804,21,True
10.0,,raw_gray,12,6,64,500,0.37994891443167306,0.3091829685763069,8.181243200029712,28,True
100.0,,raw_gray,12,6,64,500,0.3698595146871009,0.2972811571933581,12.432399776997045,137,True
0.1,balanced,raw_gray,12,6,64,500,0.35223499361430394,0.26731893612274404,4.118640086031519,14,True
1.0,balanced,raw_gray,12,6,64,500,0.36053639846743296,0.2857660751574475,4.632274784031324,20,True
10.0,balanced,raw_gray,12,6,64,500,0.35683269476372925,0.28226271091993327,5.856457191053778,24,True
100.0,balanced,raw_gray,12,6,64,500,0.3524904214559387,0.2767647669375484,11.063227487029508,188,True
0.1,,raw_gray,12,6,64,1000,0.4186462324393359,0.32455583044641395,3.5295512130251154,16,True
1.0,,raw_gray,12,6,64,1000,0.414176245210728,0.3454986963385394,4.138438398018479,21,True
10.0,,raw_gray,12,6,64,1000,0.39655172413793105,0.3328942748847614,5.667855335981585,39,True
100.0,,raw_gray,12,6,64,1000,0.3842911877394636,0.31909685490021383,12.133195717993658,173,True
0.1,balanced,raw_gray,12,6,64,1000,0.3860791826309068,0.3102154221184259,3.4606753599946387,20,True
1.0,balanced,raw_gray,12,6,64,1000,0.3955300127713921,0.3287471992218411,4.079257674980909,22,True
10.0,balanced,raw_gray,12,6,64,1000,0.389272030651341,0.32881496812906846,5.235200402967166,32,True
100.0,balanced,raw_gray,12,6,64,1000,0.37713920817369095,0.3155219292562367,13.61787416599691,322,True
0.1,,raw_gray,6,3,256,500,0.5486590038314176,0.44118437104728475,4.760063068999443,16,True
1.0,,raw_gray,6,3,256,500,0.5711366538952746,0.4909782691278863,5.662540754012298,20,True
10.0,,raw_gray,6,3,256,500,0.563984674329502,0.48537686862045143,6.130643595010042,26,True
100.0,,raw_gray,6,3,256,500,0.5490421455938698,0.47056582741268066,9.352994797984138,97,True
0.1,balanced,raw_gray,6,3,256,500,0.5291187739463602,0.4429886002799592,4.864968818961643,15,True
1.0,balanced,raw_gray,6,3,256,500,0.562962962962963,0.4862616639538653,5.098962403018959,19,True
