C,class_weight,preproc,keypoint_size,step,n_keypoints,n_words,accuracy,macro_f1,fit_seconds,n_iter,converged
0.01,,clahe_gray,12,6,64,500,0.3969348659003831,0.23286405117750342,3.5832035620114766,11,True
0.1,,clahe_gray,12,6,64,500,0.43243933588761174,0.32231896146608513,3.765336001990363,16,True
1.0,,clahe_gray,12,6,64,500,0.43167305236270753,0.3491553352682772,4.427757085999474,20,True
10.0,,clahe_gray,12,6,64,500,0.4185185185185185,0.3445908753179123,5.607340971007943,27,True
0.01,balanced,clahe_gray,12,6,64,500,0.35849297573435507,0.2534409123660575,3.6244455210107844,13,True
0.1,balanced,clahe_gray,12,6,64,500,0.3969348659003831,0.3128152118285095,3.7632806309848092,15,True
1.0,balanced,clahe_gray,12,6,64,500,0.4042145593869732,0.33230716617157624,4.214947469998151,22,True
10.0,balanced,clahe_gray,12,6,64,500,0.3961685823754789,0.32683880225498246,5.351480732992059,31,True
0.01,,clahe_gray,6,3,256,500,0.4876117496807152,0.3056823691289523,3.8848975030123256,10,True
0.1,,clahe_gray,6,3,256,500,0.5799489144316731,0.47067926204219684,4.057762809010455,14,True
1.0,,clahe_gray,6,3,256,500,0.6020434227330779,0.5208227119818921,4.514050160010811,18,True
10.0,,clahe_gray,6,3,256,500,0.5969348659003831,0.5284834333605811,5.258423453982687,22,True
0.01,balanced,clahe_gray,6,3,256,500,0.48582375478927203,0.37381843603014314,3.758752031979384,10,True
0.1,balanced,clahe_gray,6,3,256,500,0.5584929757343551,0.4747119129214985,3.9841764099837746,13,True
1.0,balanced,clahe_gray,6,3,256,500,0.591698595146871,0.5219911802799762,4.442460546008078,18,True
10.0,balanced,clahe_gray,6,3,256,500,0.5905491698595147,0.5281502196478564,5.13259692399879,22,True
0.01,,clahe_gray,4,2,576,500,0.5943805874840358,0.4269308858516351,5.3711767840140965,11,True
0.1,,clahe_gray,4,2,576,500,0.7153256704980843,0.6331415783736045,5.486992927006213,14,True
1.0,,clahe_gray,4,2,576,500,0.7390804597701149,0.6688698723984434,5.7960633960028645,16,True
10.0,,clahe_gray,4,2,576,500,0.737037037037037,0.6722316719541758,6.473256742989179,22,True
0.01,balanced,clahe_gray,4,2,576,500,0.6045977011494252,0.538873383994563,5.136091442982433,9,True
0.1,balanced,clahe_gray,4,2,576,500,0.6979565772669221,0.6428688544275413,5.116899109998485,13,True
1.0,balanced,clahe_gray,4,2,576,500,0.7310344827586207,0.670957615468958,5.375964062986895,15,True
10.0,balanced,clahe_gray,4,2,576,500,0.7303959131545339,0.6665202593519504,5.9716633859789,22,True
0.01,,clahe_gray,6,2,576,500,0.4928480204342273,0.3249293269902749,4.281710426002974,10,True
0.1,,clahe_gray,6,2,576,500,0.5945083014048531,0.49821711455336265,4.4222373829979915,15,True
1.0,,clahe_gray,6,2,576,500,0.6251596424010217,0.5533496328923008,4.891329129022779,18,True
10.0,,clahe_gray,6,2,576,500,0.6242656449553001,0.561099837812216,5.611190027004341,22,True
0.01,balanced,clahe_gray,6,2,576,500,0.48901660280970627,0.3884136913878999,4.168105919990921,10,True
0.1,balanced,clahe_gray,6,2,576,500,0.5627075351213282,0.4948170807550124,4.313360645988723,14,True
1.0,balanced,clahe_gray,6,2,576,500,0.6085568326947637,0.5482731301579682,4.829144318006001,18,True
10.0,balanced,clahe_gray,6,2,576,500,0.6159642401021711,0.555484460221055,5.512213687004987,23,True
0.01,,clahe_gray,4,3,256,500,0.5825031928480204,0.40742106376124865,5.571238461008761,11,True
0.1,,clahe_gray,4,3,256,500,0.6886334610472542,0.608090636403,5.570963670004858,13,True
1.0,,clahe_gray,4,3,256,500,0.7074074074074074,0.6510680204234613,5.974054030986736,17,True
10.0,,clahe_gray,4,3,256,500,0.7007662835249042,0.648170366809327,6.7003378919907846,20,True
0.01,balanced,clahe_gray,4,3,256,500,0.605874840357599,0.5326813319642252,5.254961329017533,9,True
0.1,balanced,clahe_gray,4,3,256,500,0.677522349936143,0.6207276971081124,5.264232504996471,12,True
1.0,balanced,clahe_gray,4,3,256,500,0.6966794380587484,0.6461774236284242,5.504921940009808,15,True
10.0,balanced,clahe_gray,4,3,256,500,0.6946360153256705,0.6445119567191527,6.188131700007943,23,True
