C,class_weight,preproc,pixels_per_cell,orientations,feature_dim,accuracy,macro_f1,fit_seconds,n_iter,converged
0.01,,raw_gray,8,9,900,0.8928480204342273,0.8720435138008644,33.87035773899697,13,True
0.1,,raw_gray,8,9,900,0.8969348659003832,0.8818691184758434,36.17710120200354,15,True
1.0,,raw_gray,8,9,900,0.8942528735632184,0.8800646161911508,41.33691913599614,20,True
10.0,,raw_gray,8,9,900,0.8796934865900383,0.864435724498712,60.7309794899993,75,True
0.01,balanced,raw_gray,8,9,900,0.8913154533844189,0.8771546021411669,35.00210741299816,12,True
0.1,balanced,raw_gray,8,9,900,0.8947637292464878,0.8807316540179828,36.34592630499537,15,True
1.0,balanced,raw_gray,8,9,900,0.8933588761174968,0.8769608032904126,43.24543512499804,30,True
10.0,balanced,raw_gray,8,9,900,0.8804597701149425,0.862934511392462,216.75885319100053,108,True
0.01,,raw_gray,8,12,1200,0.8873563218390804,0.8664762010897669,42.35498772400024,12,True
0.1,,raw_gray,8,12,1200,0.890676883780332,0.8764662586279148,44.39675510300003,15,True
1.0,,raw_gray,8,12,1200,0.8871008939974457,0.8689749868925789,51.04658569100138,22,True
10.0,,raw_gray,8,12,1200,0.8749680715197956,0.8540299681159649,97.61649845400098,86,True
0.01,balanced,raw_gray,8,12,1200,0.8851851851851852,0.8715584436752168,43.15076748499996,12,True
0.1,balanced,raw_gray,8,12,1200,0.8891443167305236,0.8731615291421837,45.15114663699933,15,True
1.0,balanced,raw_gray,8,12,1200,0.8853128991060025,0.8637174340114728,54.913463182005216,39,True
10.0,balanced,raw_gray,8,12,1200,0.8772669220945083,0.8532726188519647,92.99073770099494,151,True
0.01,,raw_gray,6,9,1764,0.9286079182630906,0.9141152274210103,60.126301701995544,12,True
0.1,,raw_gray,6,9,1764,0.9270753512132822,0.9113438466181917,62.780709482998645,15,True
1.0,,raw_gray,6,9,1764,0.9201787994891443,0.9017104369702863,85.64442949699878,36,True
10.0,,raw_gray,6,9,1764,0.9094508301404853,0.887765899312085,110.07207434200245,91,True
0.01,balanced,raw_gray,6,9,1764,0.929757343550447,0.9175187269095335,65.81920101599826,13,True
0.1,balanced,raw_gray,6,9,1764,0.9277139208173691,0.9133554292108741,73.19839856900217,15,True
1.0,balanced,raw_gray,6,9,1764,0.9206896551724137,0.9015264708172244,114.42105051399994,73,True
10.0,balanced,raw_gray,6,9,1764,0.9126436781609195,0.8913201159557939,124.42570330099988,123,True
0.01,,raw_gray,6,12,2352,0.9257982120051086,0.9071355844919166,81.74134135899658,12,True
0.1,,raw_gray,6,12,2352,0.9245210727969349,0.9090238981314344,95.20133575100044,15,True
1.0,,raw_gray,6,12,2352,0.9183908045977012,0.900505712310462,113.09739371899923,46,True
10.0,,raw_gray,6,12,2352,0.9122605363984674,0.8922813889063156,134.0639749059992,110,True
0.01,balanced,raw_gray,6,12,2352,0.9289910600255428,0.9139936315841461,80.1051850110016,13,True
0.1,balanced,raw_gray,6,12,2352,0.9259259259259259,0.9092333956026425,84.93415903300047,19,True
1.0,balanced,raw_gray,6,12,2352,0.9200510855683269,0.9017514190980372,152.68626320300245,83,True
10.0,balanced,raw_gray,6,12,2352,0.9128991060025543,0.8943470825514807,158.5615083090015,181,True
0.01,,clahe_gray,8,9,900,0.8859514687100895,0.8646071431737893,37.5597908330019,12,True
0.1,,clahe_gray,8,9,900,0.89272030651341,0.8826043142293939,39.623903204999806,15,True
1.0,,clahe_gray,8,9,900,0.8879948914431673,0.8768183965608987,44.44888732599793,19,True
10.0,,clahe_gray,8,9,900,0.879565772669221,0.863444127244982,65.36712093900132,67,True
0.01,balanced,clahe_gray,8,9,900,0.8891443167305236,0.8759252606081216,61.311941908003064,12,True
0.1,balanced,clahe_gray,8,9,900,0.8919540229885058,0.8789448500458288,63.71280273299635,16,True
1.0,balanced,clahe_gray,8,9,900,0.8876117496807152,0.8729914791808407,47.83367205399554,33,True
10.0,balanced,clahe_gray,8,9,900,0.881992337164751,0.8659730959782476,74.86838446200272,137,True
0.01,,clahe_gray,8,12,1200,0.8851851851851852,0.865571099331192,45.621703201002674,12,True
0.1,,clahe_gray,8,12,1200,0.8914431673052363,0.8765541724285955,48.604919974997756,15,True
1.0,,clahe_gray,8,12,1200,0.8871008939974457,0.8720961710380553,55.39050009500352,21,True
10.0,,clahe_gray,8,12,1200,0.8763729246487867,0.8551013056770826,87.2099439970043,87,True
0.01,balanced,clahe_gray,8,12,1200,0.8897828863346104,0.8762348377623326,66.4623089759989,13,True
