C,class_weight,n_components,preproc,cumulative_variance,accuracy,macro_f1,fit_seconds,n_iter,converged
0.01,,32,clahe_gray,0.8244234323501587,0.5438058748403576,0.4144314953486192,2.0622311209990585,10,True
0.1,,32,clahe_gray,0.8244234323501587,0.5591315453384419,0.4572218348902192,2.1345207410013245,13,True
1.0,,32,clahe_gray,0.8244234323501587,0.5593869731800766,0.460897392798693,2.0988906150014373,15,True
10.0,,32,clahe_gray,0.8244234323501587,0.5593869731800766,0.4604826741630422,2.132072291999066,16,True
0.01,balanced,32,clahe_gray,0.8244234323501587,0.5510855683269477,0.4700493183018077,2.1835117019982135,10,True
0.1,balanced,32,clahe_gray,0.8244234323501587,0.5613026819923371,0.488991425659231,2.142768507001165,12,True
1.0,balanced,32,clahe_gray,0.8244234323501587,0.5625798212005109,0.491422329173178,2.158419766998122,14,True
10.0,balanced,32,clahe_gray,0.8244234323501587,0.5627075351213282,0.4919295271266447,2.1434809179991134,14,True
0.01,,64,clahe_gray,0.8890312910079956,0.7201787994891443,0.6405853566408609,5.1997308940008224,10,True
0.1,,64,clahe_gray,0.8890312910079956,0.7274584929757344,0.6682150403766051,5.6739070389994595,13,True
1.0,,64,clahe_gray,0.8890312910079956,0.7250319284802044,0.6664052472782624,5.346827259996644,15,True
10.0,,64,clahe_gray,0.8890312910079956,0.7227330779054917,0.6618815197643304,5.588832073000958,162,True
0.01,balanced,64,clahe_gray,0.8890312910079956,0.7196679438058748,0.6659246200415002,4.956154045001313,10,True
0.1,balanced,64,clahe_gray,0.8890312910079956,0.7256704980842912,0.6764826816445718,4.995804927999416,12,True
1.0,balanced,64,clahe_gray,0.8890312910079956,0.7245210727969349,0.6764179579234484,5.041035827998712,16,True
10.0,balanced,64,clahe_gray,0.8890312910079956,0.7215836526181354,0.6721272952013763,5.440732843999285,173,True
0.01,,128,clahe_gray,0.9395068883895874,0.7980842911877395,0.7413332118792426,12.204815029999736,10,True
0.1,,128,clahe_gray,0.9395068883895874,0.8037037037037037,0.7609718583814652,12.245083200999943,13,True
1.0,,128,clahe_gray,0.9395068883895874,0.8012771392081737,0.7502658408390389,12.521586222999758,28,True
10.0,,128,clahe_gray,0.9395068883895874,0.7943805874840357,0.7376206580533814,22.50056978200155,494,True
0.01,balanced,128,clahe_gray,0.9395068883895874,0.7996168582375479,0.7512725059664124,13.034658608001337,10,True
0.1,balanced,128,clahe_gray,0.9395068883895874,0.798595146871009,0.7495253591424185,12.364106252000056,13,True
1.0,balanced,128,clahe_gray,0.9395068883895874,0.7965517241379311,0.7466207112900871,13.272956254000746,47,True
10.0,balanced,128,clahe_gray,0.9395068883895874,0.7881226053639847,0.7307371309166487,23.926503786002286,530,True
0.01,,256,clahe_gray,0.9716629981994629,0.8385696040868454,0.7898133650665912,28.02238620099888,10,True
0.1,,256,clahe_gray,0.9716629981994629,0.8369093231162197,0.7921685368989898,27.75825501700092,13,True
1.0,,256,clahe_gray,0.9716629981994629,0.825925925925926,0.771518890021821,30.36374023100143,93,True
10.0,,256,clahe_gray,0.9716629981994629,0.8080459770114943,0.7398191161022852,106.7869517830004,998,True
0.01,balanced,256,clahe_gray,0.9716629981994629,0.8441890166028098,0.797725721053435,27.679677529999026,10,True
0.1,balanced,256,clahe_gray,0.9716629981994629,0.8378033205619413,0.7891533933082372,27.823864187001163,13,True
1.0,balanced,256,clahe_gray,0.9716629981994629,0.8192848020434227,0.7568062032049265,31.569690881999122,130,True
10.0,balanced,256,clahe_gray,0.9716629981994629,0.8031928480204342,0.7323549862682316,104.35666112500257,1021,True
